Event,Name,Abbreviation,Year,Scope,Type,Surface,Host,Country,Start Date,End Date,Website
2020 WMUC,World Masters Ultimate Championships,WMUC,2020,World,National,Grass,Gold Coast,AUS,2020-09-05,2020-09-12,
2020 WUGC,World Ultimate and Guts Championships,WUGC,2020,World,National,Grass,Leeuwarden,NED,2020-07-11,2020-07-18,
2019 WOC,World Overall Championship,WOC,2019,World,National,Grass,"Richmond, VA",USA,2019-07-08,2019-07-13,
2019 PAUGC,Pan American Ultimate and Guts Championship,PAUGC,2019,Americas,National,Grass,"Sarasota, FL",USA,2019-11-03,2019-11-08,
2019 AOUGC,Asia Oceanic Ultimate and Guts Championship,AOUGC,2019,Asia Oceania,National,Grass,Shanghai,CHN,2019-07-23,2019-07-27,
2019 WU24UC,World Under-24 Ultimate Championships,WU24UC,2019,World,National,Grass,Heidelberg,GER,2019-07-13,2019-07-20,
2019 AAUGC,All Africa Ultimate and Guts Championship,AAUGC,2019,Africa,National,Grass,Johannesburg,RSA,2019-06-14,2019-06-17,
2019 AOBUC,Asia Oceanic Beach Ultimate Championship,AOBUC,2019,Asia Oceania,National,Beach,Shirahama,JPN,2019-06-13,2019-06-16,
2019 EBUC,European Beach Ultimate Championship,EBUC,2019,Europe,National,Beach,Portimão,POR,2019-05-06,2019-05-11,http://www.ebuc2019.org/
2018 EBUCC,European Beach Ultimate Club Championship,EBUCC,2018,Europe,Club,Beach,Castelldefels,ESP,2018-10-26,2018-10-28,https://ebucc2018.org
2018 EUCF,European Ultimate Championships Finals,EUCF,2018,Europe,Club,Grass,Wroclaw,POL,2018-10-05,2018-10-07,https://www.ultimatefederation.eu/club-champs/tournaments-2018/eucf-2018.php
2018 WJUC,World Junior Ultimate Championahips,WJUC,2018,World,National,Grass,Waterloo,CAN,2018-08-18,2018-08-25,https://www.wjuc2018.com
2018 WMUCC,World Masters Ultimate Club Championships,WMUCC,2018,World,Club,Grass,Winnipeg,CAN,2018-07-29,2018-08-04,https://wmucc2018.com
