Event,Division,Day,Time,Field #,Field,Stage,Game Type,Team,Opponent,Rules,Fouls,Fair,Positive,Com,Our
2013 EYUC,U17-M,2013-08-05,17:00,1,,,,Germany,Great Britain,3,1,3,3,,2
2013 EYUC,U17-M,2013-08-05,17:00,1,,,,Great Britain,Germany,2,2,1,3,,2
2013 EYUC,U17-W,2013-08-06,09:30,2,,,,Austria,France,2,3,3,1,,1
2013 EYUC,U17-W,2013-08-06,09:30,2,,,,France,Austria,1,2,3,3,,3
2013 EYUC,U20-M,2013-08-06,11:30,2,,,,Italy,Czech Republic,2,2,3,2,,2
2013 EYUC,U20-M,2013-08-06,11:30,2,,,,Czech Republic,Italy,2,1,3,3,,2
2013 EYUC,U20-W,2013-08-06,13:30,2,,,,Italy,Latvia,2,2,1,2,,2
2013 EYUC,U20-W,2013-08-06,13:30,2,,,,Latvia,Italy,2,2,3,3,,2
2013 EYUC,U20-M,2013-08-06,15:30,2,,,,Germany,Israel,1,2,2,2,,2
2013 EYUC,U20-M,2013-08-06,15:30,2,,,,Israel,Germany,4,2,2,3,,2
2013 EYUC,U20-W,2013-08-06,17:30,2,,,,Germany,Great Britain,2,1,2,2,,2
2013 EYUC,U20-W,2013-08-06,17:30,2,,,,Great Britain,Germany,1,1,2,1,,1
2013 EYUC,U17-W,2013-08-06,09:30,3,,,,Great Britain,The Netherlands,2,3,3,3,,2
2013 EYUC,U17-W,2013-08-06,09:30,3,,,,The Netherlands,Great Britain,2,2,3,2,,2
2013 EYUC,U20-M,2013-08-06,11:30,3,,,,France,Latvia,2,2,3,2,,2
2013 EYUC,U20-M,2013-08-06,11:30,3,,,,Latvia,France,2,2,3,3,,3
2013 EYUC,U17-W,2013-08-06,13:30,3,,,,Great Britain,France,3,3,4,3,,2
2013 EYUC,U17-W,2013-08-06,13:30,3,,,,France,Great Britain,2,2,2,3,,2
2013 EYUC,U20-M,2013-08-06,15:30,3,,,,Switzerland,Slovakia,2,2,2,2,,2
2013 EYUC,U20-M,2013-08-06,15:30,3,,,,Slovakia,Switzerland,2,2,3,1,,2
2013 EYUC,U17-W,2013-08-06,17:30,3,,,,Austria,Germany,2,1,1,1,,2
2013 EYUC,U17-W,2013-08-06,17:30,3,,,,Germany,Austria,1,2,2,2,,2
2013 EYUC,U20-W,2013-08-06,09:30,4,,,,Latvia,Finland,2,1,2,3,,1
2013 EYUC,U20-W,2013-08-06,09:30,4,,,,Finland,Latvia,2,1,3,3,,2
2013 EYUC,U20-M,2013-08-06,11:30,4,,,,Israel,Slovakia,1,2,3,2,,1
2013 EYUC,U20-M,2013-08-06,11:30,4,,,,Slovakia,Israel,1,0,3,2,,1
2013 EYUC,U17-W,2013-08-06,13:30,4,,,,Germany,The Netherlands,2,2,2,1,,1
2013 EYUC,U17-W,2013-08-06,13:30,4,,,,The Netherlands,Germany,2,3,3,2,,2
2013 EYUC,U20-W,2013-08-06,15:30,4,,,,Russia,Austria,2,2,3,2,,3
2013 EYUC,U20-W,2013-08-06,15:30,4,,,,Austria,Russia,1,1,2,1,,1
2013 EYUC,U20-W,2013-08-06,17:30,4,,,,Israel,Czech Republic,1,2,2,2,,2
2013 EYUC,U20-W,2013-08-06,17:30,4,,,,Czech Republic,Israel,1,0,1,2,,1
2013 EYUC,U20-W,2013-08-06,09:30,5,,,,Italy,Russia,2,1,2,3,,2
2013 EYUC,U20-W,2013-08-06,09:30,5,,,,Russia,Italy,2,2,3,3,,2
2013 EYUC,U20-M,2013-08-06,11:30,5,,,,Germany,Switzerland,2,3,3,3,,2
