Event,Division,Day,Time,Field #,Field,Stage,Game Type,Team,Opponent,Rules,Fouls,Fair,Positive,Com,Our
2014 WUCC,A-X,2014-08-02,,,,,,Shiok,Croccali,3,2,3,4,3,
2014 WUCC,A-X,2014-08-02,,,,,,Croccali,Shiok,2,2,3,2,2,
2014 WUCC,A-M,2014-08-04,,,,,,Buzz Bullets,East Midlands Open Ultimate,2,2,2,2,2,
2014 WUCC,A-M,2014-08-04,,,,,,East Midlands Open Ultimate,Buzz Bullets,2,2,3,3,2,
2014 WUCC,A-M,2014-08-04,,,,,,Iznogood,Crackerjacks Ultimate,2,3,3,3,2,
2014 WUCC,A-M,2014-08-04,,,,,,Crackerjacks Ultimate,Iznogood,2,2,3,3,2,
2014 WUCC,A-M,2014-08-04,09:00,,,,,Revolver,Mooncatchers,2,2,2,3,2,
2014 WUCC,A-M,2014-08-04,09:00,,,,,Mooncatchers,Revolver,3,2,3,2,3,
2014 WUCC,A-W,2014-08-04,09:00,,,,,Cosmic Girls,Riot,2,2,3,3,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,Riot,Cosmic Girls,2,2,2,3,3,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Catchup Graz,Ghost Ultimate,2,2,2,3,2,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Ghost Ultimate,Catchup Graz,2,1,2,2,3,
2014 WUCC,M-W,2014-08-04,09:00,,,,,Welldone,ROBOT,3,3,3,3,3,
2014 WUCC,M-W,2014-08-04,09:00,,,,,ROBOT,Welldone,2,2,3,2,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,U de Cologne,Nice Bristols,1,2,2,2,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,Nice Bristols,U de Cologne,2,2,2,3,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,UNO,LayD's,2,2,2,3,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,LayD's,UNO,2,2,3,3,2,
2014 WUCC,A-M,2014-08-04,09:00,,,,,Nomadic Tribe,Mubidisk,2,2,3,2,2,
2014 WUCC,A-M,2014-08-04,09:00,,,,,Mubidisk,Nomadic Tribe,2,1,2,3,2,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Drag'n Thrust,Corocotta,2,2,3,3,3,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Corocotta,Drag'n Thrust,2,1,2,2,3,
2014 WUCC,M-W,2014-08-04,09:00,,,,,Guacamayas,Godiva,3,2,4,3,4,
2014 WUCC,M-W,2014-08-04,09:00,,,,,Godiva,Guacamayas,2,2,3,3,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,QUB,CUSB Shout,2,2,2,2,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,CUSB Shout,QUB,3,2,3,3,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,Rogue,Traffic,1,2,2,2,2,
2014 WUCC,A-W,2014-08-04,09:00,,,,,Traffic,Rogue,2,2,3,2,2,
2014 WUCC,M-W,2014-08-04,09:00,,,,,Funky Master,PRIMAL,2,2,3,3,2,
2014 WUCC,M-W,2014-08-04,09:00,,,,,PRIMAL,Funky Master,2,2,2,3,2,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Royal Goaltimate Society,Fire of Anatolia,2,2,3,3,2,
2014 WUCC,A-X,2014-08-04,09:00,,,,,Fire of Anatolia,Royal Goaltimate Society,2,2,2,2,2,
2014 WUCC,A-X,2014-08-04,11:00,,,,,DISCOUNTRY,Union,3,2,2,3,3,
2014 WUCC,A-X,2014-08-04,11:00,,,,,Union,DISCOUNTRY,2,1,3,2,2,
2014 WUCC,A-M,2014-08-04,11:00,,,,,CamboCakes,Furious George,2,1,3,2,2,
2014 WUCC,A-M,2014-08-04,11:00,,,,,Furious George,CamboCakes,2,2,2,3,2,
2014 WUCC,A-X,2014-08-04,11:00,,,,,Panthers Bern,Cambridge Ultimate,2,3,3,3,2,
2014 WUCC,A-X,2014-08-04,11:00,,,,,Cambridge Ultimate,Panthers Bern,1,2,3,3,3,
2014 WUCC,A-X,2014-08-04,11:00,,,,,Hanabi,FUJ,1,3,3,2,2,
2014 WUCC,A-X,2014-08-04,11:00,,,,,FUJ,Hanabi,2,1,2,3,2,
2014 WUCC,A-W,2014-08-04,11:00,,,,,Showdown,Artemis,2,1,3,3,3,
2014 WUCC,A-W,2014-08-04,11:00,,,,,Artemis,Showdown,3,1,2,2,2,
2014 WUCC,A-W,2014-08-04,11:00,,,,,E6,HUCK,2,2,2,3,1,
2014 WUCC,A-W,2014-08-04,11:00,,,,,HUCK,E6,2,2,3,2,2,
2014 WUCC,A-W,2014-08-04,11:00,,,,,LMS Ultimate,Woodchicas,2,2,3,3,2,
