Event,Division,Day,Time,Field #,Field,Stage,Game Detail,Team,Opponent,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2015-PAUC,A-X,2015-11-18,8:00,1,,Group,B1 v B5,Mischief,Halal UC,,,,,,2,2,2,3,3,12
2015-PAUC,A-X,2015-11-18,8:00,1,,Group,B1 v B5,Halal UC,Mischief,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,8:00,5,,Group,B4 v B7,Tecos,Local 613,,,,,,2,2,2,3,2,11
2015-PAUC,A-X,2015-11-18,8:00,5,,Group,B4 v B7,Local 613,Tecos,,,,,,2,3,2,3,2,12
2015-PAUC,A-X,2015-11-18,8:00,8,,Group,B3 v B6,Double Down,Chase,,,,,,2,2,2,3,3,12
2015-PAUC,A-X,2015-11-18,8:00,8,,Group,B3 v B6,Chase,Double Down,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,8:00,6,,Group,A1 v A7,Drag'n thrust,Brasil COED,,,,,,2,3,4,4,2,15
2015-PAUC,A-X,2015-11-18,8:00,6,,Group,A1 v A7,Brasil COED,Drag'n thrust,,,,,,2,2,4,3,2,13
2015-PAUC,A-X,2015-11-18,8:00,9,,Group,A2 v A8,One to One,Forrest Up-UC,,,,,,2,2,2,2,3,11
2015-PAUC,A-X,2015-11-18,8:00,9,,Group,A2 v A8,Forrest Up-UC,One to One,,,,,,2,2,2,2,3,11
2015-PAUC,A-X,2015-11-18,8:00,10,,Group,A3 v A5,Administrators,Samurai UF,,,,,,2,3,2,3,3,13
2015-PAUC,A-X,2015-11-18,8:00,10,,Group,A3 v A5,Samurai UF,Administrators,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,8:00,7,,Group,A4 v A6,Stache,Backdraft,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,8:00,7,,Group,A4 v A6,Backdraft,Stache,,,,,,2,2,3,2,2,11
2015-PAUC,A-X,2015-11-18,11:20,1,,Group,B1 v B7,Mischief,Local 613,,,,,,2,1,3,2,2,10
2015-PAUC,A-X,2015-11-18,11:20,1,,Group,B1 v B7,Local 613,Mischief,,,,,,1,2,3,2,3,11
2015-PAUC,A-X,2015-11-18,11:20,5,,Group,A1 v A4,Drag'n thrust,Stache,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,11:20,5,,Group,A1 v A4,Stache,Drag'n thrust,,,,,,4,4,4,4,4,20
2015-PAUC,A-X,2015-11-18,11:20,8,,Group,B4 v B6,Tecos,Chase,,,,,,2,2,2,1,1,8
2015-PAUC,A-X,2015-11-18,11:20,8,,Group,B4 v B6,Chase,Tecos,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,11:20,6,,Group,B2 v B5,Max Power,Halal UC,,,,,,2,3,2,3,2,12
2015-PAUC,A-X,2015-11-18,11:20,6,,Group,B2 v B5,Halal UC,Max Power,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,11:20,9,,Group,A2 v A3,One to One,Administrators,,,,,,2,3,2,3,3,13
2015-PAUC,A-X,2015-11-18,11:20,9,,Group,A2 v A3,Administrators,One to One,,,,,,2,3,3,3,4,15
2015-PAUC,A-X,2015-11-18,11:20,10,,Group,A5 v A8,Samurai UF,Forrest Up-UC,,,,,,2,2,3,3,3,13
2015-PAUC,A-X,2015-11-18,11:20,10,,Group,A5 v A8,Forrest Up-UC,Samurai UF,,,,,,2,2,3,3,2,12
2015-PAUC,A-X,2015-11-18,11:20,7,,Group,A6 v A7,Backdraft,Brasil COED,,,,,,1,2,1,2,2,8
2015-PAUC,A-X,2015-11-18,11:20,7,,Group,A6 v A7,Brasil COED,Backdraft,,,,,,1,1,2,2,2,8
2015-PAUC,A-X,2015-11-18,14:40,1,,Group,B1 v B3,Mischief,Double Down,,,,,,1,2,1,1,2,7
2015-PAUC,A-X,2015-11-18,14:40,1,,Group,B1 v B3,Double Down,Mischief,,,,,,2,2,2,2,3,11
2015-PAUC,A-X,2015-11-18,14:40,5,,Group,B2 v B4,Max Power,Tecos,,,,,,2,3,3,4,3,15
2015-PAUC,A-X,2015-11-18,14:40,5,,Group,B2 v B4,Tecos,Max Power,,,,,,2,2,2,3,3,12
2015-PAUC,A-X,2015-11-18,14:40,8,,Group,B5 v B7,Halal UC,Local 613,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,14:40,8,,Group,B5 v B7,Local 613,Halal UC,,,,,,2,2,2,3,2,11
2015-PAUC,A-X,2015-11-18,16:20,1,,Group,B1 v B6,Mischief,Chase,,,,,,2,2,3,3,2,12
2015-PAUC,A-X,2015-11-18,16:20,1,,Group,B1 v B6,Chase,Mischief,,,,,,2,2,2,2,2,10
2015-PAUC,A-X,2015-11-18,16:20,5,,Group,B2 v B7,Max Power,Local 613,,,,,,2,3,3,3,2,13
2015-PAUC,A-X,2015-11-18,16:20,5,,Group,B2 v B7,Local 613,Max Power,,,,,,3,2,2,3,2,12
2015-PAUC,A-X,2015-11-18,16:20,8,,Group,B3 v B5,Double Down,Halal UC,,,,,,2,2,2,3,3,12
2015-PAUC,A-X,2015-11-18,16:20,8,,Group,B3 v B5,Halal UC,Double Down,,,,,,2,2,2,3,3,12
2015-PAUC,A-X,2015-11-18,16:20,6,,Group,A1 v A3,Drag'n thrust,Administrators,,,,,,2,2,3,3,2,12
