Event,Division,Day,Time,Field #,Field,Stage,Game Type,Team,Opponent,Rules,Fouls,Fair,Positive,Com,Our
2015 WCBU,A-W,2015-03-08,15:00,Arena,Showcase,,,USA,Germany,3,2,2,3,2,
2015 WCBU,A-W,2015-03-08,15:00,Arena,Showcase,,,Germany,USA,2,2,2,3,2,
2015 WCBU,A-X,2015-03-09,09:00,Arena,Showcase,,,Russia,Japan,2,2,2,3,3,
2015 WCBU,A-X,2015-03-09,09:00,Arena,Showcase,,,Japan,Russia,2,2,2,2,2,
2015 WCBU,A-X,2015-03-09,09:00,2,,,,Ireland,UAE,2,2,2,3,2,
2015 WCBU,A-X,2015-03-09,09:00,2,,,,UAE,Ireland,2,4,3,3,3,
2015 WCBU,A-X,2015-03-09,09:00,3,,,,Australia,Slovakia,2,2,3,3,2,
2015 WCBU,A-X,2015-03-09,09:00,3,,,,Slovakia,Australia,2,2,2,3,2,
2015 WCBU,A-X,2015-03-09,09:00,4,,,,Portugal,Switzerland,2,3,2,3,2,
2015 WCBU,A-X,2015-03-09,09:00,4,,,,Switzerland,Portugal,2,2,3,3,2,
2015 WCBU,A-X,2015-03-09,09:00,5,,,,Canada,India,3,2,3,3,3,
2015 WCBU,A-X,2015-03-09,09:00,5,,,,India,Canada,2,2,3,3,3,
2015 WCBU,A-X,2015-03-09,09:00,6,,,,Germany,Uganda,2,1,2,3,3,
2015 WCBU,A-X,2015-03-09,09:00,6,,,,Uganda,Germany,3,4,4,4,4,
2015 WCBU,A-X,2015-03-09,09:00,7,,,,Philippines,Czech Republic,3,3,2,3,3,
2015 WCBU,A-X,2015-03-09,09:00,7,,,,Czech Republic,Philippines,2,1,3,4,2,
2015 WCBU,A-X,2015-03-09,09:00,8,,,,Netherlands,Great Britain,2,2,2,3,2,
2015 WCBU,A-X,2015-03-09,09:00,8,,,,Great Britain,Netherlands,2,2,1,3,2,
2015 WCBU,A-W,2015-03-09,09:00,9,,,,Currier Island,Russia,2,1,2,2,2,
2015 WCBU,A-W,2015-03-09,09:00,9,,,,Russia,Currier Island,2,2,3,3,2,
