Event,Division,Date,Time,Field #,Field,Stage,Game Detail,Team,Opponent,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Pos,Comm,Total
2018-WMUCC,M-M,2018-07-29,17:30,Arena,Showcase,Group,A4 vs A2,SUN,Quantum,,,,,,2,2,3,3,2,12
2018-WMUCC,M-M,2018-07-29,17:30,Arena,Showcase,Group,A4 vs A2,Quantum,SUN,,,,,,2,2,3,3,3,13
2018-WMUCC,GM-M,2018-07-30,9:30,1,Normal,Group,B4 vs B7,Shadows,UP-Korea,,,,,,2,3,3,4,3,15
2018-WMUCC,GM-M,2018-07-30,9:30,1,Normal,Group,B4 vs B7,UP-Korea,Shadows,,,,,,2,3,2,2,2,11
2018-WMUCC,M-X,2018-07-30,9:30,2,Normal,Group,B1 vs B4,Members Only,Aoteaora Eh,,,,,,2,3,3,3,2,13
2018-WMUCC,M-X,2018-07-30,9:30,2,Normal,Group,B1 vs B4,Aoteaora Eh,Members Only,,,,,,2,2,3,2,2,11
2018-WMUCC,M-X,2018-07-30,9:30,3,Normal,Group,A2 vs A5,Fine Wine,Bingo & Chill,,,,,,2,2,3,2,2,11
2018-WMUCC,M-X,2018-07-30,9:30,3,Normal,Group,A2 vs A5,Bingo & Chill,Fine Wine,,,,,,2,2,3,3,2,12
2018-WMUCC,M-X,2018-07-30,9:30,4,Normal,Group,C2 vs C5,Uknighted,Medellin,,,,,,2,2,3,3,2,12
2018-WMUCC,M-X,2018-07-30,9:30,4,Normal,Group,C2 vs C5,Medellin,Uknighted,,,,,,2,2,2,2,2,10
2018-WMUCC,M-X,2018-07-30,9:30,5,Normal,Group,A1 vs A4,UPAARP,Grey BH,,,,,,3,2,3,3,2,13
2018-WMUCC,M-X,2018-07-30,9:30,5,Normal,Group,A1 vs A4,Grey BH,UPAARP,,,,,,2,2,2,3,2,11
2018-WMUCC,M-X,2018-07-30,9:30,6,Normal,Group,B2 vs B5,Wasabi,Spectrum,,,,,,1,2,3,3,2,11
2018-WMUCC,M-X,2018-07-30,9:30,6,Normal,Group,B2 vs B5,Spectrum,Wasabi,,,,,,3,2,3,3,3,14
2018-WMUCC,M-X,2018-07-30,9:30,7,Normal,Group,D6 vs D1,UFO,Hey Babe,,,,,,2,2,4,4,4,16
2018-WMUCC,M-X,2018-07-30,9:30,7,Normal,Group,D6 vs D1,Hey Babe,UFO,,,,,,3,2,3,3,2,13
2018-WMUCC,M-X,2018-07-30,9:30,8,Normal,Group,D4 vs D2,2600,Penguin Village,,,,,,3,2,2,2,2,11
2018-WMUCC,M-X,2018-07-30,9:30,8,Normal,Group,D4 vs D2,Penguin Village,2600,,,,,,2,2,2,2,2,10
2018-WMUCC,M-X,2018-07-30,9:30,9,Normal,Group,D5 vs D3,Masala Magic,San Francisco Bridge Club,,,,,,1,2,2,3,1,9
2018-WMUCC,M-X,2018-07-30,9:30,9,Normal,Group,D5 vs D3,San Francisco Bridge Club,Masala Magic,,,,,,4,3,2,3,2,14
2018-WMUCC,GM-M,2018-07-30,9:30,10,Normal,Group,A5 vs A1,Surly GM,Grave Britain,,,,,,2,3,3,3,2,13
2018-WMUCC,GM-M,2018-07-30,9:30,10,Normal,Group,A5 vs A1,Grave Britain,Surly GM,,,,,,2,2,3,3,3,13
2018-WMUCC,GM-M,2018-07-30,9:30,11,Normal,Group,A6 vs A4,Reckon,Shutdown,,,,,,2,2,3,3,2,12
2018-WMUCC,GM-M,2018-07-30,9:30,11,Normal,Group,A6 vs A4,Shutdown,Reckon,,,,,,3,3,4,3,3,16
2018-WMUCC,GM-M,2018-07-30,9:30,12,Normal,Group,A7 vs A3,Big Bombers,Get Off My Lawn,,,,,,2,3,3,2,2,12
2018-WMUCC,GM-M,2018-07-30,9:30,12,Normal,Group,A7 vs A3,Get Off My Lawn,Big Bombers,,,,,,3,3,4,4,3,17
2018-WMUCC,GM-M,2018-07-30,9:30,13,Normal,Group,B6 vs B1,KalaKala,Tombstone,,,,,,2,1,3,2,3,11
2018-WMUCC,GM-M,2018-07-30,9:30,13,Normal,Group,B6 vs B1,Tombstone,KalaKala,,,,,,3,3,3,2,3,14
2018-WMUCC,GM-M,2018-07-30,9:30,14,Normal,Group,B2 vs B5,Johnny Walker,Grand Masters of the Universe,,,,,,2,3,3,3,2,13
2018-WMUCC,GM-M,2018-07-30,9:30,14,Normal,Group,B2 vs B5,Grand Masters of the Universe,Johnny Walker,,,,,,3,2,3,3,2,13
2018-WMUCC,GM-M,2018-07-30,9:30,15,Normal,Group,B3 vs B8,Beers,TRex,,,,,,2,2,2,3,3,12
2018-WMUCC,GM-M,2018-07-30,9:30,15,Normal,Group,B3 vs B8,TRex,Beers,,,,,,2,3,3,4,3,15
2018-WMUCC,M-X,2018-07-30,9:30,16,Normal,Group,C1 vs C4,512,Banana Cream Pie,,,,,,2,1,3,2,1,9
2018-WMUCC,M-X,2018-07-30,9:30,16,Normal,Group,C1 vs C4,Banana Cream Pie,512,,,,,,2,1,2,1,2,8
2018-WMUCC,M-W,2018-07-30,11:30,1,Normal,Group,B4 vs B7,Molly Grey,Thrift Shop,,,,,,3,2,2,3,2,12
2018-WMUCC,M-W,2018-07-30,11:30,1,Normal,Group,B4 vs B7,Thrift Shop,Molly Grey,,,,,,2,2,2,3,2,11
2018-WMUCC,M-M,2018-07-30,11:30,2,Normal,Group,B1 vs B4,NSOM,Raging Bananas,,,,,,3,3,3,3,3,15
2018-WMUCC,M-M,2018-07-30,11:30,2,Normal,Group,B1 vs B4,Raging Bananas,NSOM,,,,,,2,2,3,3,2,12
2018-WMUCC,M-M,2018-07-30,11:30,3,Normal,Group,A5 vs A1,Johnny Encore,Men’s Masters Mexico,,,,,,2,3,3,3,2,13
2018-WMUCC,M-M,2018-07-30,11:30,3,Normal,Group,A5 vs A1,Men’s Masters Mexico,Johnny Encore,,,,,,2,2,2,3,3,12
2018-WMUCC,M-M,2018-07-30,11:30,4,Normal,Group,C2 vs C5,Wolpertinger,Carbon,,,,,,2,2,2,3,2,11
2018-WMUCC,M-M,2018-07-30,11:30,4,Normal,Group,C2 vs C5,Carbon,Wolpertinger,,,,,,2,2,2,3,3,12
2018-WMUCC,M-M,2018-07-30,11:30,5,Normal,Group,C1 vs C4,Rest Stop,Crawl,,,,,,2,3,3,3,3,14
2018-WMUCC,M-M,2018-07-30,11:30,5,Normal,Group,C1 vs C4,Crawl,Rest Stop,,,,,,2,2,3,2,2,11
2018-WMUCC,M-M,2018-07-30,11:30,6,Normal,Group,B2 vs B5,Queen City Kings,Surly,,,,,,3,2,2,2,2,11
2018-WMUCC,M-M,2018-07-30,11:30,6,Normal,Group,B2 vs B5,Surly,Queen City Kings,,,,,,2,2,1,2,2,9
2018-WMUCC,M-M,2018-07-30,11:30,7,Normal,Group,D6 vs D1,All Bashed Out,Iron Crow,,,,,,2,2,2,3,2,11
2018-WMUCC,M-M,2018-07-30,11:30,7,Normal,Group,D6 vs D1,Iron Crow,All Bashed Out,,,,,,2,2,2,3,2,11
2018-WMUCC,M-M,2018-07-30,11:30,8,Normal,Group,D4 vs D2,Best Before,Osaka Kings,,,,,,1,3,3,2,2,11
2018-WMUCC,M-M,2018-07-30,11:30,8,Normal,Group,D4 vs D2,Osaka Kings,Best Before,,,,,,2,1,2,2,3,10
2018-WMUCC,M-M,2018-07-30,11:30,9,Normal,Group,D5 vs D3,OUCH,DUFF Stout,,,,,,2,2,2,3,3,12
2018-WMUCC,M-M,2018-07-30,11:30,9,Normal,Group,D5 vs D3,DUFF Stout,OUCH,,,,,,2,2,3,3,3,13
2018-WMUCC,M-W,2018-07-30,11:30,10,Normal,Group,A5 vs A1,Loose Cannon,Vintage,,,,,,2,1,2,1,3,9
2018-WMUCC,M-W,2018-07-30,11:30,10,Normal,Group,A5 vs A1,Vintage,Loose Cannon,,,,,,1,2,2,1,2,8
2018-WMUCC,M-W,2018-07-30,11:30,11,Normal,Group,A6 vs A4,Quasar,Dyna,,,,,,2,2,3,3,2,12
2018-WMUCC,M-W,2018-07-30,11:30,11,Normal,Group,A6 vs A4,Dyna,Quasar,,,,,,1,2,2,2,2,9
2018-WMUCC,M-W,2018-07-30,11:30,12,Normal,Group,A7 vs A3,Samsui,iRot,,,,,,2,3,2,2,2,11
2018-WMUCC,M-W,2018-07-30,11:30,12,Normal,Group,A7 vs A3,iRot,Samsui,,,,,,2,3,2,3,2,12
2018-WMUCC,M-W,2018-07-30,11:30,13,Normal,Group,B6 vs B1,Silver Foxes,Surly COUGARS,,,,,,2,2,2,2,2,10
2018-WMUCC,M-W,2018-07-30,11:30,13,Normal,Group,B6 vs B1,Surly COUGARS,Silver Foxes,,,,,,2,1,2,3,2,10
2018-WMUCC,M-W,2018-07-30,11:30,14,Normal,Group,B2 vs B5,Mu-Syozoku,Eclipse,,,,,,2,2,2,3,3,12
2018-WMUCC,M-W,2018-07-30,11:30,14,Normal,Group,B2 vs B5,Eclipse,Mu-Syozoku,,,,,,2,2,2,3,2,11
2018-WMUCC,M-W,2018-07-30,11:30,15,Normal,Group,B3 vs B8,Mint,lowercase,,,,,,2,1,2,2,2,9
2018-WMUCC,M-W,2018-07-30,11:30,15,Normal,Group,B3 vs B8,lowercase,Mint,,,,,,2,2,2,3,2,11
2018-WMUCC,M-M,2018-07-30,11:30,16,Normal,Group,A2 vs A3,SUN,Torque,,,,,,1,1,1,2,1,6
2018-WMUCC,M-M,2018-07-30,11:30,16,Normal,Group,A2 vs A3,Torque,SUN,,,,,,2,3,2,3,3,13
2018-WMUCC,GM-M,2018-07-30,14:00,1,Normal,Group,A2 vs A5,Grave Britain,Figjam,,,,,,2,2,2,2,2,10
2018-WMUCC,M-M,2018-07-30,14:00,1,Normal,Group,A2 vs A5,Figjam,Grave Britain,,,,,,2,3,3,2,3,13
2018-WMUCC,GM-M,2018-07-30,14:00,2,Normal,Group,A3 vs A4,Get Off My Lawn,Shutdown,,,,,,3,2,2,3,3,13
2018-WMUCC,GM-M,2018-07-30,14:00,2,Normal,Group,A3 vs A4,Shutdown,Get Off My Lawn,,,,,,2,3,3,3,3,14
2018-WMUCC,M-X,2018-07-30,14:00,3,Normal,Group,B2 vs B3,Wasabi,Mastadon,,,,,,1,1,1,2,3,8
2018-WMUCC,M-X,2018-07-30,14:00,3,Normal,Group,B2 vs B3,Mastadon,Wasabi,,,,,,2,2,3,3,2,12
