Event,Division,Date,Time,Field #,Field,Stage,Game Detail,Team,Opponent,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2018-WUCC,A-X,2018-07-14,17:00,Stadium,Showcase,Group,Pool E,NED GRUT,USA Wild Card,,,,,,2,2,3,2,3,12
2018-WUCC,A-X,2018-07-14,17:00,Stadium,Showcase,Group,Pool E,USA Wild Card,NED GRUT,,,,,,3,2,3,3,3,14
2018-WUCC,A-M,2018-07-15,09:00,10,Normal,Group,Pool H,CAN General Strike,RSA Long Donkeys,,,,,,2,1,3,3,3,12
2018-WUCC,A-M,2018-07-15,09:00,10,Normal,Group,Pool H,RSA Long Donkeys,CAN General Strike,,,,,,2,3,3,3,2,13
2018-WUCC,A-M,2018-07-15,09:00,11,Normal,Group,Pool C,FRA IZNOGOOD,USA Ring of Fire,,,,,,2,2,3,3,3,13
2018-WUCC,A-M,2018-07-15,09:00,11,Normal,Group,Pool C,USA Ring of Fire,FRA IZNOGOOD,,,,,,2,2,2,3,3,12
2018-WUCC,A-M,2018-07-15,09:00,12,Normal,Group,Pool E,CHN Shanghai Chuchai,GBR Clapham Ultimate,,,,,,2,2,3,3,2,12
2018-WUCC,A-M,2018-07-15,09:00,12,Normal,Group,Pool E,GBR Clapham Ultimate,CHN Shanghai Chuchai,,,,,,2,2,2,2,2,10
2018-WUCC,A-M,2018-07-15,09:00,13,Normal,Group,Pool D,AUT thebigEZ,AUS Colony,,,,,,2,2,2,2,3,11
2018-WUCC,A-M,2018-07-15,09:00,13,Normal,Group,Pool D,AUS Colony,AUT thebigEZ,,,,,,3,2,3,3,3,14
2018-WUCC,A-M,2018-07-15,09:00,15,Normal,Group,Pool F,VEN Warao Ultimate Club,CAN Goat,,,,,,2,2,2,2,3,11
2018-WUCC,A-M,2018-07-15,09:00,15,Normal,Group,Pool F,CAN Goat,VEN Warao Ultimate Club,,,,,,2,2,2,2,2,10
2018-WUCC,A-W,2018-07-15,09:00,16,Normal,Group,Pool A,MEX Malafama,USA Fury,,,,,,2,2,2,3,2,11
2018-WUCC,A-W,2018-07-15,09:00,16,Normal,Group,Pool A,USA Fury,MEX Malafama,,,,,,2,2,2,2,3,11
2018-WUCC,A-M,2018-07-15,09:00,17,Normal,Group,Pool A,BEL Mooncatchers,USA Revolver,,,,,,2,2,2,2,2,10
2018-WUCC,A-M,2018-07-15,09:00,17,Normal,Group,Pool A,USA Revolver,BEL Mooncatchers,,,,,,2,2,3,3,2,12
2018-WUCC,A-W,2018-07-15,09:00,18,Normal,Group,Pool G,SGP HAVOC,USA Seattle Riot,,,,,,2,3,2,3,2,12
2018-WUCC,A-W,2018-07-15,09:00,18,Normal,Group,Pool G,USA Seattle Riot,SGP HAVOC,,,,,,2,2,3,4,2,13
2018-WUCC,A-W,2018-07-15,09:00,19,Normal,Group,Pool B,COL Bamboo,USA Boston Brute Squad,,,,,,2,1,2,2,2,9
2018-WUCC,A-W,2018-07-15,09:00,19,Normal,Group,Pool B,USA Boston Brute Squad,COL Bamboo,,,,,,3,2,3,2,3,13
2018-WUCC,A-X,2018-07-15,09:00,2,Normal,Group,Pool F,FRA Sesquidistus,CAN Crash,,,,,,2,2,3,3,3,13
2018-WUCC,A-X,2018-07-15,09:00,2,Normal,Group,Pool F,CAN Crash,FRA Sesquidistus,,,,,,3,3,2,3,2,13
2018-WUCC,A-W,2018-07-15,09:00,20,Normal,Group,Pool H,TPE Daione Kumay,CAN 6ixers,,,,,,3,3,2,3,3,14
2018-WUCC,A-W,2018-07-15,09:00,20,Normal,Group,Pool H,CAN 6ixers,TPE Daione Kumay,,,,,,2,2,3,3,2,12
2018-WUCC,A-W,2018-07-15,09:00,21,Normal,Group,Pool C,USA Molly Brown Ultimate,SUI ZUF,,,,,,2,2,2,3,2,11
2018-WUCC,A-W,2018-07-15,09:00,21,Normal,Group,Pool C,SUI ZUF,USA Molly Brown Ultimate,,,,,,2,2,3,3,2,12
2018-WUCC,A-X,2018-07-15,09:00,22,Normal,Group,Pool C,AUS Pie Wagon,RSA UCT Flying Tigers,,,,,,3,2,3,2,3,13
2018-WUCC,A-X,2018-07-15,09:00,22,Normal,Group,Pool C,RSA UCT Flying Tigers,AUS Pie Wagon,,,,,,2,2,3,2,2,11
2018-WUCC,A-X,2018-07-15,09:00,23,Normal,Group,Pool C,KEN Kisumu Frisbee Club,KOR BOOM!,,,,,,3,3,2,2,2,12
2018-WUCC,A-X,2018-07-15,09:00,23,Normal,Group,Pool C,KOR BOOM!,KEN Kisumu Frisbee Club,,,,,,2,2,2,3,2,11
2018-WUCC,A-W,2018-07-15,09:00,24,Normal,Group,Pool E,BEL Gentleladies,COL Revolution,,,,,,2,2,3,3,2,12
2018-WUCC,A-W,2018-07-15,09:00,24,Normal,Group,Pool E,COL Revolution,BEL Gentleladies,,,,,,2,2,3,2,2,11
2018-WUCC,A-W,2018-07-15,09:00,25,Normal,Group,Pool D,GBR Nice Bristols,USA Atlanta Ozone,,,,,,2,2,2,3,2,11
