Event,Division,Date,Time,Field #,Field,Stage,Game Detail,Team,Opponent,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Pos,Comm,Total
2019-WU24UC,U24-W,2019-07-13,18:30,14,Showcase,Group,Pool A,BEL,GER,1,,,,,2,2,2,3,2,11
2019-WU24UC,U24-W,2019-07-13,18:30,14,Showcase,Group,Pool A,GER,BEL,15,,,,,2,2,2,3,2,11
2019-WU24UC,U24-W,2019-07-14,09:00,1,Normal,Group,Pool B,CAN,ITA,14,,,,,2,2,2,2,3,11
2019-WU24UC,U24-W,2019-07-14,09:00,1,Normal,Group,Pool B,ITA,CAN,7,,,,,2,2,3,2,2,11
2019-WU24UC,U24-W,2019-07-14,09:00,2,Normal,Group,Pool B,AUS,GBR,9,,,,,2,2,3,2,2,11
2019-WU24UC,U24-W,2019-07-14,09:00,2,Normal,Group,Pool B,GBR,AUS,15,,,,,2,2,2,2,3,11
2019-WU24UC,U24-X,2019-07-14,09:00,4,Normal,Group,Pool A,LAT,USA,4,,,,,3,2,3,2,3,13
2019-WU24UC,U24-X,2019-07-14,09:00,4,Normal,Group,Pool A,USA,LAT,15,,,,,2,2,2,2,2,10
2019-WU24UC,U24-M,2019-07-14,09:00,6,Normal,Group,Pool A,DEN,PAN,15,,,,,2,2,2,2,1,9
2019-WU24UC,U24-M,2019-07-14,09:00,6,Normal,Group,Pool A,PAN,DEN,7,,,,,3,2,3,2,3,13
2019-WU24UC,U24-W,2019-07-14,09:00,7,Normal,Group,Pool B,IRL,JPN,1,,,,,2,2,3,2,2,11
2019-WU24UC,U24-W,2019-07-14,09:00,7,Normal,Group,Pool B,JPN,IRL,15,,,,,2,2,2,3,2,11
2019-WU24UC,U24-X,2019-07-14,09:00,8,Normal,Group,Pool A,FRA,NED,11,,,,,2,2,3,2,3,12
2019-WU24UC,U24-X,2019-07-14,09:00,8,Normal,Group,Pool A,NED,FRA,15,,,,,2,2,2,2,3,11
2019-WU24UC,U24-M,2019-07-14,09:00,12,Normal,Group,Pool B,BEL,RUS,15,,,,,2,2,3,2,2,11
2019-WU24UC,U24-M,2019-07-14,09:00,12,Normal,Group,Pool B,RUS,BEL,3,,,,,2,2,3,2,3,12
2019-WU24UC,U24-M,2019-07-14,09:00,13,Normal,Group,Pool B,CAN,IRL,15,,,,,2,2,3,2,2,11
2019-WU24UC,U24-M,2019-07-14,09:00,13,Normal,Group,Pool B,IRL,CAN,6,,,,,2,2,2,3,2,11
2019-WU24UC,U24-M,2019-07-14,09:00,14,Normal,Group,Pool B,CHN,ITA,4,,,,,2,2,2,3,2,11
2019-WU24UC,U24-M,2019-07-14,09:00,14,Normal,Group,Pool B,ITA,CHN,15,,,,,2,3,2,3,2,12
2019-WU24UC,U24-M,2019-07-14,11:00,1,Normal,Group,Pool A,COL,JPN,11,,,,,2,1,2,3,2,10
2019-WU24UC,U24-M,2019-07-14,11:00,1,Normal,Group,Pool A,JPN,COL,14,,,,,2,2,3,2,2,11
2019-WU24UC,U24-X,2019-07-14,11:00,2,Normal,Group,Pool C,GER,ITA,15,,,,,2,2,2,3,3,12
2019-WU24UC,U24-X,2019-07-14,11:00,2,Normal,Group,Pool C,ITA,GER,9,,,,,2,2,3,3,3,13
2019-WU24UC,U24-X,2019-07-14,11:00,4,Normal,Group,Pool B,HKG,SWE,5,,,,,2,2,2,2,2,10
2019-WU24UC,U24-X,2019-07-14,11:00,4,Normal,Group,Pool B,SWE,HKG,15,,,,,2,3,3,2,3,13
2019-WU24UC,U24-M,2019-07-14,11:00,6,Normal,Group,Pool A,AUT,GER,13,,,,,2,2,2,3,3,12
2019-WU24UC,U24-M,2019-07-14,11:00,6,Normal,Group,Pool A,GER,AUT,15,,,,,2,2,2,3,3,12
2019-WU24UC,U24-M,2019-07-14,11:00,7,Normal,Group,Pool A,TPE,USA,3,,,,,2,2,2,2,2,10
2019-WU24UC,U24-M,2019-07-14,11:00,7,Normal,Group,Pool A,USA,TPE,15,,,,,2,3,3,3,2,13
2019-WU24UC,U24-X,2019-07-14,11:00,8,Normal,Group,Pool B,JPN,MEX,15,,,,,2,3,2,3,2,12
2019-WU24UC,U24-X,2019-07-14,11:00,8,Normal,Group,Pool B,MEX,JPN,2,,,,,2,2,2,3,2,11
2019-WU24UC,U24-W,2019-07-14,11:00,12,Normal,Group,Pool A,SUI,USA,0,,,,,2,2,3,2,3,12
2019-WU24UC,U24-W,2019-07-14,11:00,12,Normal,Group,Pool A,USA,SUI,15,,,,,2,2,2,3,3,12
2019-WU24UC,U24-M,2019-07-14,11:00,13,Normal,Group,Pool B,AUS,NZL,15,,,,,2,2,2,2,3,11
2019-WU24UC,U24-M,2019-07-14,11:00,13,Normal,Group,Pool B,NZL,AUS,11,,,,,2,1,2,2,2,9
2019-WU24UC,U24-W,2019-07-14,11:00,14,Normal,Group,Pool A,COL,NZL,15,,,,,2,2,2,2,2,10
2019-WU24UC,U24-W,2019-07-14,11:00,14,Normal,Group,Pool A,NZL,COL,11,,,,,1,2,3,2,2,10
2019-WU24UC,U24-X,2019-07-14,13:00,1,Normal,Group,Pool A,GBR,NED,13,,,,,2,2,3,3,2,12
2019-WU24UC,U24-X,2019-07-14,13:00,1,Normal,Group,Pool A,NED,GBR,15,,,,,2,2,2,2,3,11
2019-WU24UC,U24-W,2019-07-14,13:00,2,Normal,Group,Pool B,AUS,ITA,3,,,,,2,2,2,2,2,10
2019-WU24UC,U24-W,2019-07-14,13:00,2,Normal,Group,Pool B,ITA,AUS,15,,,,,2,2,2,3,2,11
2019-WU24UC,U24-M,2019-07-14,13:00,6,Normal,Group,Pool A,GBR,PAN,15,,,,,1,2,2,2,1,8
2019-WU24UC,U24-M,2019-07-14,13:00,6,Normal,Group,Pool A,PAN,GBR,2,,,,,2,2,2,2,3,11
2019-WU24UC,U24-W,2019-07-14,13:00,7,Normal,Group,Pool B,GBR,IRL,15,,,,,2,2,3,2,2,11
2019-WU24UC,U24-W,2019-07-14,13:00,7,Normal,Group,Pool B,IRL,GBR,8,,,,,2,2,2,3,2,11
2019-WU24UC,U24-W,2019-07-14,13:00,8,Normal,Group,Pool B,CAN,JPN,14,,,,,2,1,2,2,3,10
2019-WU24UC,U24-W,2019-07-14,13:00,8,Normal,Group,Pool B,JPN,CAN,15,,,,,2,2,2,2,3,11
2019-WU24UC,U24-M,2019-07-14,13:00,12,Normal,Group,Pool B,BEL,SUI,15,,,,,2,2,3,2,2,11
2019-WU24UC,U24-M,2019-07-14,13:00,12,Normal,Group,Pool B,SUI,BEL,12,,,,,2,2,3,2,2,11
2019-WU24UC,U24-M,2019-07-14,13:00,13,Normal,Group,Pool B,CAN,ITA,15,,,,,2,2,3,2,2,11
2019-WU24UC,U24-M,2019-07-14,13:00,13,Normal,Group,Pool B,ITA,CAN,13,,,,,2,1,2,1,2,8
2019-WU24UC,U24-X,2019-07-14,15:00,1,Normal,Group,Pool C,CAN,CZE,15,,,,,2,2,2,3,2,11
