Event,Division,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-EYUC,U17-X,22-08-07,09:00,,,,POL U17 Mixed,POL,AUT U17 Mixed,AUT,,,,,,2,2,2,3,3,12
2022-EYUC,U17-X,22-08-07,15:00,,,,BEL U17 Mixed,BEL,AUT U17 Mixed,AUT,,,,,,2,3,3,2,2,12
2022-EYUC,U17-X,22-08-08,09:00,,,,HUN U17 Mixed,HUN,AUT U17 Mixed,AUT,,,,,,2,2,2,3,2,11
2022-EYUC,U17-X,22-08-08,15:00,,,,ITA U17 Mixed,ITA,AUT U17 Mixed,AUT,,,,,,2,2,3,4,2,13
2022-EYUC,U17-X,22-08-10,13:00,,,,BEL U17 Mixed,BEL,AUT U17 Mixed,AUT,,,,,,2,2,3,3,2,12
2022-EYUC,U17-X,22-08-10,17:00,,,,HUN U17 Mixed,HUN,AUT U17 Mixed,AUT,,,,,,2,2,2,4,2,12
2022-EYUC,U17-X,22-08-11,13:00,,,,POL U17 Mixed,POL,AUT U17 Mixed,AUT,,,,,,2,2,2,4,3,13
2022-EYUC,U17-X,22-08-11,17:00,,,,ITA U17 Mixed,ITA,AUT U17 Mixed,AUT,,,,,,2,2,3,2,2,11
2022-EYUC,U17-X,22-08-07,09:00,,,,HUN U17 Mixed,HUN,BEL U17 Mixed,BEL,,,,,,1,2,2,3,1,9
2022-EYUC,U17-X,22-08-07,15:00,,,,AUT U17 Mixed,AUT,BEL U17 Mixed,BEL,,,,,,2,1,2,2,3,10
2022-EYUC,U17-X,22-08-08,15:00,,,,POL U17 Mixed,POL,BEL U17 Mixed,BEL,,,,,,2,2,2,2,3,11
2022-EYUC,U17-X,22-08-09,11:00,,,,ITA U17 Mixed,ITA,BEL U17 Mixed,BEL,,,,,,1,2,2,2,2,9
2022-EYUC,U17-X,22-08-10,09:00,,,,POL U17 Mixed,POL,BEL U17 Mixed,BEL,,,,,,1,2,2,3,2,10
2022-EYUC,U17-X,22-08-10,13:00,,,,AUT U17 Mixed,AUT,BEL U17 Mixed,BEL,,,,,,2,2,3,3,2,12
2022-EYUC,U17-X,22-08-11,09:00,,,,ITA U17 Mixed,ITA,BEL U17 Mixed,BEL,,,,,,2,2,2,3,1,10
2022-EYUC,U17-X,22-08-11,13:00,,,,HUN U17 Mixed,HUN,BEL U17 Mixed,BEL,,,,,,1,2,1,1,2,7
2022-EYUC,U17-X,22-08-12,11:00,,,,POL U17 Mixed,POL,BEL U17 Mixed,BEL,,,,,,2,2,2,3,2,11
2022-EYUC,U17-X,22-08-07,09:00,,,,BEL U17 Mixed,BEL,HUN U17 Mixed,HUN,,,,,,1,1,2,2,2,8
2022-EYUC,U17-X,22-08-07,15:00,,,,ITA U17 Mixed,ITA,HUN U17 Mixed,HUN,,,,,,2,1,2,3,2,10
2022-EYUC,U17-X,22-08-08,09:00,,,,AUT U17 Mixed,AUT,HUN U17 Mixed,HUN,,,,,,2,1,2,2,2,9
2022-EYUC,U17-X,22-08-09,11:00,,,,POL U17 Mixed,POL,HUN U17 Mixed,HUN,,,,,,1,1,2,2,2,8
2022-EYUC,U17-X,22-08-10,09:00,,,,ITA U17 Mixed,ITA,HUN U17 Mixed,HUN,,,,,,2,1,2,1,2,8
2022-EYUC,U17-X,22-08-10,17:00,,,,AUT U17 Mixed,AUT,HUN U17 Mixed,HUN,,,,,,2,2,3,2,2,11
2022-EYUC,U17-X,22-08-11,13:00,,,,BEL U17 Mixed,BEL,HUN U17 Mixed,HUN,,,,,,1,2,2,1,1,7
2022-EYUC,U17-X,22-08-11,17:00,,,,POL U17 Mixed,POL,HUN U17 Mixed,HUN,,,,,,2,1,2,3,2,10
2022-EYUC,U17-X,22-08-12,13:00,,,,ITA U17 Mixed,ITA,HUN U17 Mixed,HUN,,,,,,2,2,2,2,2,10
2022-EYUC,U17-X,22-08-07,15:00,,,,HUN U17 Mixed,HUN,ITA U17 Mixed,ITA,,,,,,1,2,3,2,1,9
2022-EYUC,U17-X,22-08-08,09:00,,,,POL U17 Mixed,POL,ITA U17 Mixed,ITA,,,,,,1,1,2,3,2,9
2022-EYUC,U17-X,22-08-08,15:00,,,,AUT U17 Mixed,AUT,ITA U17 Mixed,ITA,,,,,,2,2,3,3,2,12
2022-EYUC,U17-X,22-08-09,11:00,,,,BEL U17 Mixed,BEL,ITA U17 Mixed,ITA,,,,,,2,2,2,1,2,9
2022-EYUC,U17-X,22-08-10,09:00,,,,HUN U17 Mixed,HUN,ITA U17 Mixed,ITA,,,,,,2,2,2,2,2,10
2022-EYUC,U17-X,22-08-10,13:00,,,,POL U17 Mixed,POL,ITA U17 Mixed,ITA,,,,,,1,1,1,3,3,9
2022-EYUC,U17-X,22-08-11,09:00,,,,BEL U17 Mixed,BEL,ITA U17 Mixed,ITA,,,,,,1,1,2,2,2,8
2022-EYUC,U17-X,22-08-11,17:00,,,,AUT U17 Mixed,AUT,ITA U17 Mixed,ITA,,,,,,2,2,3,3,2,12
2022-EYUC,U17-X,22-08-12,13:00,,,,HUN U17 Mixed,HUN,ITA U17 Mixed,ITA,,,,,,2,2,2,2,2,10
2022-EYUC,U17-X,22-08-07,09:00,,,,AUT U17 Mixed,AUT,POL U17 Mixed,POL,,,,,,2,1,2,3,2,10
2022-EYUC,U17-X,22-08-08,09:00,,,,ITA U17 Mixed,ITA,POL U17 Mixed,POL,,,,,,1,2,3,3,2,11
