Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-X,22-08-07 11:00,2022-08-07,11:00,,,,SVK U20 Mixed,SVK,COL U20 Mixed,COL,,,,,,2,3,2,3,1,11
2022-WJUC,U20-X,22-08-07 15:00,2022-08-07,15:00,,,,ISR U20 Mixed,ISR,COL U20 Mixed,COL,,,,,,0,1,0,1,2,4
2022-WJUC,U20-X,22-08-08 11:00,2022-08-08,11:00,,,,HUN U20 Mixed,HUN,COL U20 Mixed,COL,,,,,,2,2,3,2,3,12
2022-WJUC,U20-X,22-08-08 17:00,2022-08-08,17:00,,,,NED U20 Mixed,NED,COL U20 Mixed,COL,,,,,,1,2,2,3,1,9
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,SWE U20 Mixed,SWE,COL U20 Mixed,COL,,,,,,1,2,2,2,1,8
2022-WJUC,U20-X,22-08-09 13:00,2022-08-09,13:00,,,,SUI U20 Mixed,SUI,COL U20 Mixed,COL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-X,22-08-10 13:00,2022-08-10,13:00,,,,SVK U20 Mixed,SVK,COL U20 Mixed,COL,,,,,,1,2,1,3,2,9
2022-WJUC,U20-X,22-08-11 11:00,2022-08-11,11:00,,,,ISR U20 Mixed,ISR,COL U20 Mixed,COL,,,,,,2,2,3,2,3,12
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,NED U20 Mixed,NED,COL U20 Mixed,COL,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-12 13:00,2022-08-12,13:00,,,,SWE U20 Mixed,SWE,COL U20 Mixed,COL,,,,,,1,1,2,2,1,7
2022-WJUC,U20-X,22-08-07 13:00,2022-08-07,13:00,,,,SWE U20 Mixed,SWE,HUN U20 Mixed,HUN,,,,,,1,1,2,2,2,8
2022-WJUC,U20-X,22-08-07 17:00,2022-08-07,17:00,,,,SVK U20 Mixed,SVK,HUN U20 Mixed,HUN,,,,,,0,2,1,1,2,6
2022-WJUC,U20-X,22-08-08 11:00,2022-08-08,11:00,,,,COL U20 Mixed,COL,HUN U20 Mixed,HUN,,,,,,2,2,2,3,2,11
2022-WJUC,U20-X,22-08-08 17:00,2022-08-08,17:00,,,,ISR U20 Mixed,ISR,HUN U20 Mixed,HUN,,,,,,2,3,3,4,4,16
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,NED U20 Mixed,NED,HUN U20 Mixed,HUN,,,,,,1,1,1,2,2,7
2022-WJUC,U20-X,22-08-09 17:00,2022-08-09,17:00,,,,SUI U20 Mixed,SUI,HUN U20 Mixed,HUN,,,,,,1,2,1,2,2,8
2022-WJUC,U20-X,22-08-10 11:00,2022-08-10,11:00,,,,SUI U20 Mixed,SUI,HUN U20 Mixed,HUN,,,,,,1,2,1,2,2,8
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,SWE U20 Mixed,SWE,HUN U20 Mixed,HUN,,,,,,1,1,2,2,1,7
2022-WJUC,U20-X,22-08-12 19:00,2022-08-12,19:00,,,,SUI U20 Mixed,SUI,HUN U20 Mixed,HUN,,,,,,1,2,1,2,2,8
2022-WJUC,U20-X,22-08-07 11:00,2022-08-07,11:00,,,,SUI U20 Mixed,SUI,ISR U20 Mixed,ISR,,,,,,2,2,3,3,3,13
2022-WJUC,U20-X,22-08-07 15:00,2022-08-07,15:00,,,,COL U20 Mixed,COL,ISR U20 Mixed,ISR,,,,,,1,1,0,1,0,3
2022-WJUC,U20-X,22-08-08 09:00,2022-08-08,09:00,,,,SWE U20 Mixed,SWE,ISR U20 Mixed,ISR,,,,,,2,2,3,3,2,12
2022-WJUC,U20-X,22-08-08 17:00,2022-08-08,17:00,,,,HUN U20 Mixed,HUN,ISR U20 Mixed,ISR,,,,,,3,3,3,3,3,15
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,SVK U20 Mixed,SVK,ISR U20 Mixed,ISR,,,,,,2,2,2,4,3,13
2022-WJUC,U20-X,22-08-09 15:00,2022-08-09,15:00,,,,NED U20 Mixed,NED,ISR U20 Mixed,ISR,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-10 13:00,2022-08-10,13:00,,,,NED U20 Mixed,NED,ISR U20 Mixed,ISR,,,,,,1,1,1,2,3,8
2022-WJUC,U20-X,22-08-11 11:00,2022-08-11,11:00,,,,COL U20 Mixed,COL,ISR U20 Mixed,ISR,,,,,,2,2,3,3,2,12
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,SVK U20 Mixed,SVK,ISR U20 Mixed,ISR,,,,,,2,2,2,3,3,12
2022-WJUC,U20-X,22-08-07 09:00,2022-08-07,09:00,,,,SWE U20 Mixed,SWE,NED U20 Mixed,NED,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-07 15:00,2022-08-07,15:00,,,,SUI U20 Mixed,SUI,NED U20 Mixed,NED,,,,,,2,1,2,1,3,9
2022-WJUC,U20-X,22-08-08 13:00,2022-08-08,13:00,,,,SVK U20 Mixed,SVK,NED U20 Mixed,NED,,,,,,2,3,2,3,2,12
2022-WJUC,U20-X,22-08-08 17:00,2022-08-08,17:00,,,,COL U20 Mixed,COL,NED U20 Mixed,NED,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,HUN U20 Mixed,HUN,NED U20 Mixed,NED,,,,,,2,1,2,2,2,9
2022-WJUC,U20-X,22-08-09 15:00,2022-08-09,15:00,,,,ISR U20 Mixed,ISR,NED U20 Mixed,NED,,,,,,2,1,3,2,3,11
2022-WJUC,U20-X,22-08-10 13:00,2022-08-10,13:00,,,,ISR U20 Mixed,ISR,NED U20 Mixed,NED,,,,,,2,1,2,1,3,9
2022-WJUC,U20-X,22-08-11 11:00,2022-08-11,11:00,,,,SVK U20 Mixed,SVK,NED U20 Mixed,NED,,,,,,1,2,1,2,3,9
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,COL U20 Mixed,COL,NED U20 Mixed,NED,,,,,,2,1,2,1,2,8
2022-WJUC,U20-X,22-08-07 11:00,2022-08-07,11:00,,,,ISR U20 Mixed,ISR,SUI U20 Mixed,SUI,,,,,,2,2,3,3,2,12
