Event,Year,Team,Country,City,Age,Gender,Division,Seeding,Result,Games,Goals Scored,Goials Received,Offence Time,Offence Goals,Defence Time,Defence Goals,TOs,Spirit TOs,R: Rules,R: Fouls,R: Fair,R: Pos,R: Comm,R: Total,G: Rules,G: Fouls,G: Fair,G: Pos,G: Comm,G: Total
2015-AOUC,2015,India,IND,,All,Open/Men,A-M,,,,,,,,,,,,2.14,2.29,2.57,3.00,2.43,12.43,,,,,,
2015-AOUC,2015,Japan,JPN,,All,Open/Men,A-M,,,,,,,,,,,,2.13,2.13,2.75,2.50,2.25,11.76,,,,,,
2015-AOUC,2015,Singapore,SGP,,All,Open/Men,A-M,,,,,,,,,,,,2.14,2.29,2.43,2.14,2.43,11.43,,,,,,
2015-AOUC,2015,Australia,AUS,,All,Open/Men,A-M,,,,,,,,,,,,2.00,2.13,2.13,2.38,2.50,11.14,,,,,,
2015-AOUC,2015,Hong Kong,HKG,,All,Open/Men,A-M,,,,,,,,,,,,1.88,2.00,2.38,2.25,2.13,10.64,,,,,,
2015-AOUC,2015,Philippines,PHI,,All,Open/Men,A-M,,,,,,,,,,,,1.75,2.00,2.13,2.25,2.25,10.38,,,,,,
2015-AOUC,2015,Chinese Taipei,TPE,,All,Open/Men,A-M,,,,,,,,,,,,1.75,1.88,2.38,2.13,2.00,10.14,,,,,,
2015-AOUC,2015,Australia,AUS,,All,Women,A-W,,,,,,,,,,,,2.67,2.50,2.83,2.83,3.17,14.00,,,,,,
2015-AOUC,2015,Hong Kong,HKG,,All,Women,A-W,,,,,,,,,,,,1.80,2.00,2.20,2.40,2.00,10.40,,,,,,
2015-AOUC,2015,Philippines,PHI,,All,Women,A-W,,,,,,,,,,,,1.67,2.00,2.00,2.33,2.33,10.33,,,,,,
2015-AOUC,2015,Singapore,SGP,,All,Women,A-W,,,,,,,,,,,,1.67,1.33,1.67,2.17,2.50,9.34,,,,,,
2015-AOUC,2015,Chinese Taipei,TPE,,All,Women,A-W,,,,,,,,,,,,1.60,1.60,1.40,2.00,2.20,8.80,,,,,,
2015-AOUC,2015,New Zealand,NZL,,All,Mixed,A-X,,,,,,,,,,,,2.50,2.67,2.83,3.67,2.83,14.50,,,,,,
2015-AOUC,2015,Japan,JPN,,All,Mixed,A-X,,,,,,,,,,,,2.83,2.33,2.67,3.33,2.33,13.49,,,,,,
2015-AOUC,2015,United Arab Emirates,UAE,,All,Mixed,A-X,,,,,,,,,,,,2.33,2.50,2.33,2.83,2.83,12.82,,,,,,
2015-AOUC,2015,Hong Kong,HKG,,All,Mixed,A-X,,,,,,,,,,,,2.17,2.17,2.33,2.83,2.33,11.83,,,,,,
2015-AOUC,2015,Australia,AUS,,All,Mixed,A-X,,,,,,,,,,,,2.33,1.83,2.33,2.33,2.33,11.15,,,,,,
2015-AOUC,2015,China,CHN,,All,Mixed,A-X,,,,,,,,,,,,2.17,1.83,2.00,2.67,2.33,11.00,,,,,,
2015-AOUC,2015,South Korea,KOR,,All,Mixed,A-X,,,,,,,,,,,,2.33,1.67,2.33,2.00,2.50,10.83,,,,,,
2015-AOUC,2015,Singapore,SGP,,All,Mixed,A-X,,,,,,,,,,,,1.71,2.00,2.14,2.14,2.14,10.13,,,,,,
2015-AOUC,2015,Philippines,PHI,,All,Mixed,A-X,,,,,,,,,,,,1.71,1.43,2.14,2.43,1.57,9.28,,,,,,
2015-AOUC,2015,Chinese Taipei,TPE,,All,Mixed,A-X,,,,,,,,,,,,1.33,1.83,1.33,2.17,2.17,8.83,,,,,,
2016-WJUC,2016,Australia,AUS,,U20,Open/Men,#N/A,,,,,,,,,,,,2.25,2.25,2.50,3.00,2.50,12.50,,,,,,
2016-WJUC,2016,Austria,AUT,,U20,Open/Men,#N/A,,,,,,,,,,,,2.11,1.67,2.33,2.11,2.22,10.44,,,,,,
