ID,Code,Year,Location,Country,Start Date,End Date,Website,Remarks
2020-WMUC,WMUC,2020,Gold Coast,AUS,2020-09-05,2020-09-12,https://wmuc2020.com,
2020-WUGC,WUGC,2020,Leeuwarden,NED,2020-07-11,2020-07-18,https://www.2020wugc.com,
2019-WOC,WOC,2019,"Richmond, VA",USA,2019-07-08,2019-07-13,http://www.rvadisc2019.com,
2019-PAUCC,PAUCC,2019,"Sarasota, FL",USA,2019-11-03,2019-11-08,http://www.pauc2019.com,
2019-AOUGC,AOUGC,2019,Shanghai,CHN,2019-07-23,2019-07-27,http://www.aougc2019.cn,
2019-WU24UC,WU24UC,2019,Heidelberg,GER,2019-07-13,2019-07-20,https://wu24heidelberg.com,
2019-AAUCC,AAUCC,2019,Johannesburg,RSA,2019-06-14,2019-06-17,https://ultimatecentral.com/it_ch/e/wfdf-2019-all-africa-ultimate-championships-aauc-2019,
2019-AOBUC,AOBUC,2019,Shirahama,JPN,2019-06-13,2019-06-16,https://www.jfda.or.jp/aobuc2019/,Also clubs
2019-EBUC,EBUC,2019,Portimão,POR,2019-05-06,2019-05-11,http://www.ebuc2019.org/,
2018-EBUCC,EBUCC,2018,Castelldefels,ESP,2018-10-26,2018-10-28,https://ebucc2018.org,
2018-EUCF,EUCF,2018,Wroclaw,POL,2018-10-05,2018-10-07,https://www.ultimatefederation.eu/club-champs/tournaments-2018/eucf-2018.php,
2018-WJUC,WJUC,2018,Waterloo,CAN,2018-08-18,2018-08-25,https://www.wjuc2018.com,
2018-WMUCC,WMUCC,2018,Winnipeg,CAN,2018-07-29,2018-08-04,https://wmucc2018.com,
2018-WUCC,WUCC,2018,Cincinnati,USA,2018-07-14,2018-07-21,https://www.wucc2018.com,
2018-WU24UC,WU24UC,2018,Perth,AUS,2018-01-07,2018-01-13,https://www.wu24perth.com,
2017-PAUCC,PAUCC,2017,Cañuelas,ARG,2017-11-14,2017-11-19,https://www.paucc2017.com/,
2017-AOUGCC,AOUGCC,2017,Manila,PHI,2017-08-17,2017-08-20,https://flyingdisc.ph/aougcc-2017/,
2017-WOC,WOC,2017,Basingstoke,GBR,2017-07-24,2017-07-29,,
2017-TWG,TWG,2017,Wrocław,POL,2017-07-20,2017-07-30,https://theworldgames2017.com/,
2017-WCBU,WCBU,2017,Royan,FRA,2017-06-18,2017-06-24,https://wcbu2017.org,
2017-WGGMBUC,WGGMBUC,2017,Lisbon,POR,2017-06-17,2017-06-21,,
2017-AAUCC,AAUCC,2017,Nairobi,KEN,2017-06-02,2017-06-04,,No SOTG data
2016-WJUC,WJUC,2016,Wroclaw,POL,2016-07-31,2016-08-06,,
2016-WUGC,WUGC,2016,London,GBR,2016-06-18,2016-06-25,,
2015-AOUC,AOUC,2015,Hong Kong,HKG,2015-11-27,2015-11-29,,
2015-PAUC,PAUC,2015,Puerto Morelos Quintana Roo,MEX,2015-11-18,2015-11-21,,"Also clubs, hence excluded"
2015-AAUCC,AAUCC,2015,Kampala,UGA,2015-09-12,2015-09-13,,
2015-EUC,EUC,2015,Copenhagen,DEN,2015-07-27,2015-08-02,http://euc2015.ultimatecentral.com/,
2015-WU23UC,WU23UC,2015,London,GBR,2015-07-12,2015-07-18,http://2015wfdfu23.ultimatecentral.com,
2015-WCBU,WCBU,2015,Dubai,UAE,2015-03-08,2015-03-13,http://www.wcbu2015.org,
2014-WUCC,WUCC,2014,Lecco,ITA,2014-08-02,2014-08-09,,
2014-WJUC,WJUC,2014,Lecco,ITA,2014-07-20,2014-07-26,,
2013-PAUCC,PAUCC,2013,Aguas de Lindóia City,BRA,2013-11-14,2013-11-17,http://www.paucc2013.com,
2013-AOUCC,AOUCC,2013,Singapore,SGP,2013-08-09,2013-08-11,http://www.aoucc2013.com/,
2013-TWG,TWG,2013,Cali,COL,2013-07-28,2013-07-30,http://worldgames2013.com.co/,
2013-EYUC,EYUC,2013,Cologne,GER,2013-08-05,2013-08-10,,
2013-WU23UC,WU23UC,2013,Toronto,CAN,2013-07-22,2013-07-28,http://www.wfdf2013-u23.com/,
2013-EBUC,EBUC,2013,Calafell,ESP,2013-06-27,2013-06-30,http://www.ecbu2013.org,
2012-WJUC,WJUC,2012,Dublin,IRL,2012-08-12,2012-08-18,http://www.wjuc2012.com/,
2012-WUGC,WUGC,2012,Sakai,JPN,2012-07-07,2012-07-14,http://wugc2012.japanultimate.jp/english/g,
2011-AOUC,AOUC,2011,Kaohsiung City,TPE,2011-12-01,2011-12-04,,
2011-PAUCC,PAUCC,2011,Medellin,COL,2011-11-23,2011-11-27,,
2011-WCBU,WCBU,2011,Lignano Sabbiadoro,ITA,2011-08-22,2011-08-28,http://www.wcbu2011.com/,
2010-WU23UC,WU23UC,2010,Florence,ITA,2010-07-19,2010-07-25,,
2010-WUCC,WUCC,2010,Prague,CZE,2010-07-04,2010-07-10,,
