Code,Name,Scope,Discipline,TeamType
AAGC,All Africa Guts Championships,Africa,Guts,National
AAUC,All Africa Ultimate Championships,Africa,Grass Ultimate,National
AAUCC,All African Ultimate Club Championships,Africa,Grass Ultimate,Club
AAUGC,All Africa Ultimate and Guts Championships,Africa,,National
AOBUC,Asia Oceanic Beach Ultimate Championships,Asia Oceania,Beach Ultimate,National
AOGC,Asia Oceanic Guts Championships,Asia Oceania,Guts,National
AOGCC,Asia Oceanic Guts Club Championships,Asia Oceania,Guts,Club
AOTDGC,Asia Oceanic Team Disc Golf Championships,Asia Oceania,Disc Golf,National
AOUC,Asia Oceanic Ultimate Championships,Asia Oceania,Grass Ultimate,National
AOUCC,Asia Oceanic Ultimate Club Championships,Asia Oceania,Grass Ultimate,Club
AOUGC,Asia Oceanic Ultimate and Guts Championships,Asia Oceania,,National
AOUGCC,Asia Oceanic Ultimate Club and Guts Championships,Asia Oceania,,Club
EBUC,European Beach Ultimate Championships,Europe,Beach Ultimate,National
EBUCC,European Beach Ultimate Club Championships,Europe,Beach Ultimate,Club
ECC,European Club Championships,Europe,Grass Ultimate,Club
EUC,European Ultimate Championships,Europe,Grass Ultimate,Club
EUCF,European Ultimate Championships Finals,Europe,Grass Ultimate,Club
EUGC,European Ultimate and Guts Championships,Europe,,Club
EYUC,European Youth Ultimate Championships,Europe,Grass Ultimate,National
PAGC,Pan American Guts Championships,Americas,Grass Ultimate,National
PATDGC,Pan American Team Disc Golf Championships,Disc Golf,Americas,National
PAUC,Pan American Ultimate Championships,Americas,Grass Ultimate,Club
PAUCC,Pan American Ultimate Club Championships,Americas,Grass Ultimate,Club
PAUGC,Pan American Ultimate and Guts Championships,Americas,,National
TWG,The World Games,World,,National
WCBU,World Championships of Beach Ultimate,World,Beach Ultimate,National
WGC,World Guts Championships,World,Guts,National
WGGMBUC,World Great Grandmasters Beach Ultimate Championships,World,Beach Ultimate,National
WJUC,World Junior Ultimate Championships,World,Grass Ultimate,National
WMUC,World Masters Ultimate Championships,World,Grass Ultimate,National
WMUCC,World Masters Ultimate Club Championships,World,Grass Ultimate,Club
WOC,World Overall Championships,World,Grass Ultimate,National
WTDGC,World Team Disc Golf Championships,World,Grass Ultimate,National
WU23UC,World Under-23 Ultimate Championships,World,Grass Ultimate,National
WU24UC,World Under-24 Ultimate Championships,World,Grass Ultimate,National
WUC,World Ultimate Championships,World,Grass Ultimate,National
WUCC,World Ultimate Club Championships,World,Grass Ultimate,Club
WUGC,World Ultimate and Guts Championships,World,,National
WWUC,World Wheelchair Ultimate Championships,World,Wheelchair Ultimate,National
